pmid;title/abstract;sentence_id;sentence;plant;disease;relation;trigger;e1start;e1end;e2start;e2end
2215561;a;10;CONCLUSIONS: These findings do not support the hypothesis that coffee or caffeine consumption increases the risk of coronary heart disease or stroke. ;coffee;coronary heart disease;Negative;o;63;69;116;138
2215561;a;10;CONCLUSIONS: These findings do not support the hypothesis that coffee or caffeine consumption increases the risk of coronary heart disease or stroke . ;coffee;stroke;Negative;o;63;69;142;148
2814139;a;4;A wide variety of tobacco habits prevalent in the country are primarily responsible for the occurrence of these cancers . ;tobacco;cancers;Cause_of_disease;x;18;25;112;119
2814139;a;5;Among them, bidi smoking, tobacco chewing, and cigarette smoking, in that order, account for a large majority of these cancers . ;tobacco;cancers;Cause_of_disease;x;26;33;119;126
2814139;a;7;The government of India has accorded a high priority to prevention of tobacco -related cancers by the turn of the century in its National Cancer Control Programme. ;tobacco;cancers;Cause_of_disease;o;70;77;87;94
2996118;t;0;Intragastric bile acid concentrations in healthy subjects and in patients with gastric and duodenal ulcer and the influence of fiber-enriched wheat bran in patients with gastric ulcer . ;wheat;gastric ulcer;Association;o;142;147;170;183
2996118;t;0;Intragastric bile acid concentrations in healthy subjects and in patients with gastric and duodenal ulcer and the influence of fiber-enriched wheat bran in patients with gastric ulcer. ;wheat;gastric and duodenal ulcer;Negative;o;142;147;79;105
2996118;t;0;Intragastric bile acid concentrations in healthy subjects and in patients with gastric and duodenal ulcer and the influence of fiber-enriched wheat bran in patients with gastric ulcer. ;wheat;duodenal ulcer;Negative;o;142;147;91;105
2996118;a;4;Fiber-enriched wheat bran reduced bile acid concentrations significantly in patients with gastric ulcer disease . ;wheat;gastric ulcer disease;Treatment_of_disease;o;15;20;90;111
3390851;a;2;Approximately 90% of Indian oral cancers are tobacco related, the possibility of developing the lesion being ten times higher if the habit is formed below the age of 14 years. ;tobacco;oral cancers;Cause_of_disease;o;45;52;28;40
3390851;a;3;"Public awareness about tobacco -related oral cancer is low at present, and new approaches to this problem should include education in the schools on oral cancer, formulation of legislative action to ban the sale of tobacco near schools and colleges, and imposition of societal ""barriers"" that would make the nonchewing of tobacco socially more acceptable than chewing it. ";tobacco;oral cancer;Cause_of_disease;o;23;30;40;51
3390851;a;3;"Public awareness about tobacco -related oral cancer is low at present, and new approaches to this problem should include education in the schools on oral cancer , formulation of legislative action to ban the sale of tobacco near schools and colleges, and imposition of societal ""barriers"" that would make the nonchewing of tobacco socially more acceptable than chewing it. ";tobacco;oral cancer;Negative;o;23;30;40;51
3390851;a;3;"Public awareness about tobacco-related oral cancer is low at present, and new approaches to this problem should include education in the schools on oral cancer, formulation of legislative action to ban the sale of tobacco near schools and colleges, and imposition of societal ""barriers"" that would make the nonchewing of tobacco socially more acceptable than chewing it. ";tobacco;oral cancer;Negative;o;23;30;39;50
3390851;a;3;"Public awareness about tobacco-related oral cancer is low at present, and new approaches to this problem should include education in the schools on oral cancer , formulation of legislative action to ban the sale of tobacco near schools and colleges, and imposition of societal ""barriers"" that would make the nonchewing of tobacco socially more acceptable than chewing it. ";tobacco;oral cancer;Negative;o;23;30;39;50
3390851;a;3;"Public awareness about tobacco-related oral cancer is low at present, and new approaches to this problem should include education in the schools on oral cancer, formulation of legislative action to ban the sale of tobacco near schools and colleges, and imposition of societal ""barriers"" that would make the nonchewing of tobacco socially more acceptable than chewing it. ";tobacco;oral cancer;Negative;o;23;30;39;50
3390851;a;3;"Public awareness about tobacco-related oral cancer is low at present, and new approaches to this problem should include education in the schools on oral cancer , formulation of legislative action to ban the sale of tobacco near schools and colleges, and imposition of societal ""barriers"" that would make the nonchewing of tobacco socially more acceptable than chewing it. ";tobacco;oral cancer;Negative;o;23;30;39;50
6468177;a;0;The effects of vitamin C on the growth of human lung cultures and of vitamin C or L-cysteine on a human breast cancer culture (SK-Br-3) were assessed with and without exposure to fresh smoke from tobacco or marijuana cigarettes. ;marijuana;breast cancer;Negative;o;207;216;104;117
6468177;a;0;The effects of vitamin C on the growth of human lung cultures and of vitamin C or L-cysteine on a human breast cancer culture (SK-Br-3) were assessed with and without exposure to fresh smoke from tobacco or marijuana cigarettes. ;tobacco;breast cancer;Negative;o;196;203;104;117
6468177;a;3;Nonexposed or tobacco -smoke-exposed breast cancer cultures, when grown in the presence of vitamin C, also showed acceleration of growth of epithelial cells, significant reduction in mitotic abnormalities, and occurrence of pseudoglandular structures, indicating differentiation. ;tobacco;breast cancer;Negative;o;14;21;37;50
6468177;a;5;In contrast, vitamin C did not reduce mitotic abnormalities in marijuana -smoke-exposed breast cancer cultures, but stimulated abnormal growth and dedifferentiation. ;marijuana;breast cancer;Negative;o;63;72;88;101
6468177;a;6;In nonexposed, tobacco-, or marijuana -smoke-exposed breast cancer cultures. ;marijuana;breast cancer;Negative;o;28;37;53;66
6468177;a;6;In nonexposed, tobacco -, or marijuana-smoke-exposed breast cancer cultures. ;tobacco;breast cancer;Negative;o;15;22;53;66
7586181;t;0;Efficacy of cancer prevention by high-selenium garlic is primarily dependent on the action of selenium. ;garlic;cancer;Treatment_of_disease;o;47;53;12;18
7586181;a;0;We reported previously that garlic cultivated with selenite fertilization showed powerful chemopreventive activity in the rat dimethylbenz[a]anthracene (DMBA)-induced mammary tumor model (Carcinogenesis 15, 573-576, 1994). ;garlic;mammary tumor;Treatment_of_disease;o;28;34;167;180
7586181;a;1;In order to ascertain that the efficacy of the high-selenium garlic in cancer protection is primarily dependent on the action of selenium we compared the effects of two batches of garlic powder with marked differences in their level of selenium enrichment, 112 or 1355 p.p.m. ;garlic;cancer;Treatment_of_disease;o;61;67;71;77
7586181;a;1;In order to ascertain that the efficacy of the high-selenium garlic in cancer protection is primarily dependent on the action of selenium we compared the effects of two batches of garlic powder with marked differences in their level of selenium enrichment, 112 or 1355 p.p.m. ;garlic;cancer;Negative;o;61;67;71;77
7586181;a;7;Furthermore, the magnitude tumor suppression, as well as the extent of DMBA-DNA adduct inhibition, were very similar with the two batches of garlic , even though the amounts of garlic in the diet varied considerably between them (1.8% for the 112 p.p.m. ;garlic;tumor;Treatment_of_disease;o;141;147;27;32
7586181;a;7;Furthermore, the magnitude tumor suppression, as well as the extent of DMBA-DNA adduct inhibition, were very similar with the two batches of garlic, even though the amounts of garlic in the diet varied considerably between them (1.8% for the 112 p.p.m. ;garlic;tumor;Treatment_of_disease;o;141;147;27;32
7586181;a;14;Thus, based on the results of several biological responses, it appears that the ability of the high-selenium garlic to protect against tumorigenesis is primarily dependent on increased intake of selenium provided by the vegetable. ;garlic;tumorigenesis;Treatment_of_disease;o;109;115;135;148
7597024;t;0; Coffee consumption not associated with risk of pancreas cancer in Finland. ;Coffee;pancreas cancer;Negative;o;1;7;48;63
7597024;a;0;BACKGROUND: Coffee consumption has been brought to focus as a possible risk factor for pancreas cancer . ;Coffee;pancreas cancer;Cause_of_disease;o;12;18;87;102
7597024;a;1;"After having reviewed the available evidence, an International Agency for Research on Cancer working group concluded in 1991 that the evidence in humans that coffee drinking is carcinogenic in the pancreas is ""inadequate,"" since the available data were considered suggestive of a weak relationship with high levels of coffee consumption, but the possibility that this was due to bias or confounding was judged tenable. ";coffee;Cancer;Negative;o;158;164;86;92
7597024;a;1;"After having reviewed the available evidence, an International Agency for Research on Cancer working group concluded in 1991 that the evidence in humans that coffee drinking is carcinogenic in the pancreas is ""inadequate,"" since the available data were considered suggestive of a weak relationship with high levels of coffee consumption, but the possibility that this was due to bias or confounding was judged tenable. ";coffee;Cancer;Negative;o;158;164;86;92
7597024;a;2;METHODS: The association between coffee consumption and pancreas cancer risk was examined in a case-referent study in Finland. ;coffee;pancreas cancer;Negative;o;33;39;56;71
7597024;a;3;Data on coffee consumption 20 years prior to the diagnosis of cancer were obtained from the next of kin of 662 cases of pancreas cancer and 1,770 referent (stomach, colon, and rectum) cancers. ;coffee;cancer;Negative;o;8;14;62;68
7597024;a;3;Data on coffee consumption 20 years prior to the diagnosis of cancer were obtained from the next of kin of 662 cases of pancreas cancer and 1,770 referent (stomach, colon, and rectum) cancers. ;coffee;pancreas cancer;Negative;o;8;14;120;135
7597024;a;3;Data on coffee consumption 20 years prior to the diagnosis of cancer were obtained from the next of kin of 662 cases of pancreas cancer and 1,770 referent (stomach, colon, and rectum) cancers . ;coffee;(stomach, colon, and rectum) cancers;Negative;o;8;14;155;191
7597024;a;3;Data on coffee consumption 20 years prior to the diagnosis of cancer were obtained from the next of kin of 662 cases of pancreas cancer and 1,770 referent (stomach, colon, and rectum) cancers . ;coffee;colon, and rectum) cancers;Negative;o;8;14;165;191
7597024;a;3;Data on coffee consumption 20 years prior to the diagnosis of cancer were obtained from the next of kin of 662 cases of pancreas cancer and 1,770 referent (stomach, colon, and rectum) cancers . ;coffee;rectum) cancers;Negative;o;8;14;176;191
7597024;a;4;The results were expressed as crude and age-, gender-, and tobacco smoking-adjusted odds ratios and 95% confidence intervals for three daily coffee dose categories 20 years prior to cancer diagnosis. ;tobacco;cancer;Negative;o;59;66;182;188
7597024;a;4;The results were expressed as crude and age-, gender-, and tobacco smoking-adjusted odds ratios and 95% confidence intervals for three daily coffee dose categories 20 years prior to cancer diagnosis. ;coffee;cancer;Negative;o;141;147;182;188
7597024;a;5;RESULTS: The data failed to demonstrate any association between coffee consumption and risk for pancreas cancer . ;coffee;pancreas cancer;Negative;o;64;70;96;111
7597024;a;6;The crude odds ratios varied between 0.7 (95% confidence interval 0.3-1.5) and 1.3 (0.7-2.6), the adjusted ones between 0.5 (0.2-1.2) and 1.1 (0.6-2.1) in the different daily dose categories of coffee and between contrasts with the three referent cancers . ;coffee;cancers;Negative;o;194;200;247;254
7597024;a;10;CONCLUSIONS: The results are unlikely to be negatively biased, and are compatible with the majority of epidemiologic results advanced, suggesting no positive association between coffee consumption and the risk of pancreas cancer . ;coffee;pancreas cancer;Negative;o;178;184;213;228
7672072;a;3;Past and current salted meat consumption was associated with increased risks of laryngeal cancer , after controlling for the effects of tobacco and alcohol. ;tobacco;laryngeal cancer;Negative;o;136;143;80;96
7676710;t;0;Optimal dose of garlic to inhibit dimethylhydrazine-induced colon cancer . ;garlic;colon cancer;Treatment_of_disease;o;16;22;60;72
7676710;a;0;This study was designed to investigate the optimal dose of garlic during long-term feeding and its preventive and therapeutic effects on colon cancer in rats induced by 1,2-dimethylhydrazine (DMH). ;garlic;colon cancer;Negative;o;59;65;137;149
7676710;a;2;The incidence of colon tumor was significantly decreased in the groups fed with 2.5%, 5%, and 10% garlic diets (p < 0.001). ;garlic;colon tumor;Treatment_of_disease;o;98;104;17;28
7676710;a;4;Therefore the minimal optimal dose of garlic to inhibit colon cancer was 2.5%. ;garlic;colon cancer;Treatment_of_disease;o;38;44;56;68
7676710;a;6;In a therapeutic study, the tumor -inducing interval in nude mice subcutaneously injected with colon cancer cells (CC-M2) was prolonged by a 2.5% garlic diet (p < 0.01). ;garlic;tumor;Treatment_of_disease;o;146;152;28;33
7676710;a;6;In a therapeutic study, the tumor-inducing interval in nude mice subcutaneously injected with colon cancer cells (CC-M2) was prolonged by a 2.5% garlic diet (p < 0.01). ;garlic;colon cancer;Treatment_of_disease;o;145;151;94;106
7676710;a;7;Thus smaller tumor volume and longer survival time were found in the garlic group than in the controls (p < 0.01). ;garlic;tumor;Treatment_of_disease;o;69;75;13;18
7676710;a;8;However, the growth rate of tumors was not markedly inhibited by garlic . ;garlic;tumors;Negative;o;65;71;28;34
7676710;a;10;This study suggested that a 2.5% garlic dose may be used mainly as an inhibitor to prevent colon cancers and improve survival time. ;garlic;colon cancers;Treatment_of_disease;o;33;39;91;104
7884559;t;0;The evidence for soybean products as cancer preventive agents. ;soybean;cancer;Treatment_of_disease;o;17;24;37;43
7884559;a;0;There is much evidence suggesting that compounds present in soybeans can prevent cancer in many different organ systems. ;soybeans;cancer;Treatment_of_disease;o;60;68;81;87
7884559;a;1;The evidence for specific soybean -derived compounds having a suppressive effect on carcinogenesis in animal model systems is limited, however. ;soybean;carcinogenesis;Negative;o;26;33;84;98
7884559;a;2;There is evidence that the following isolated soybean derived products suppress carcinogenesis in vivo: a protease inhibitor, the Bowman-Birk inhibitor, inositol hexaphosphate (phytic acid) and the sterol beta-sitosterol. ;soybean;carcinogenesis;Treatment_of_disease;o;46;53;80;94
7884559;a;3;Other compounds that may be able to suppress carcinogenesis in animals are the soybean isoflavones. ;soybean;carcinogenesis;Treatment_of_disease;o;79;86;45;59
7884559;a;5;There is much evidence to suggest that diets containing large amounts of soybean products are associated with overall low cancer mortality rates, particularly for cancers of the colon, breast and prostate. ;soybean;cancer;Treatment_of_disease;o;73;80;122;128
7884559;a;5;There is much evidence to suggest that diets containing large amounts of soybean products are associated with overall low cancer mortality rates, particularly for cancers of the colon, breast and prostate . ;soybean;cancers of the colon, breast and prostate;Treatment_of_disease;o;73;80;163;204
7884559;a;5;There is much evidence to suggest that diets containing large amounts of soybean products are associated with overall low cancer mortality rates, particularly for cancers of the colon, breast and prostate. ;soybean;cancers of the colon, breast;Treatment_of_disease;o;73;80;163;191
7884559;a;5;There is much evidence to suggest that diets containing large amounts of soybean products are associated with overall low cancer mortality rates, particularly for cancers of the colon , breast and prostate. ;soybean;cancers of the colon;Treatment_of_disease;o;73;80;163;183
7884559;a;6;It is believed that supplementation of human diets with certain soybean products shown to suppress carcinogenesis in animals could markedly reduce human cancer mortality rates. ;soybean;cancer;Treatment_of_disease;o;64;71;153;159
7884559;a;6;It is believed that supplementation of human diets with certain soybean products shown to suppress carcinogenesis in animals could markedly reduce human cancer mortality rates. ;soybean;carcinogenesis;Treatment_of_disease;o;64;71;99;113
7950842;t;0;Detection and cloning of potent transforming gene(s) from chewing tobacco -related human oral carcinomas . ;tobacco;oral carcinomas;Cause_of_disease;o;66;73;89;104
7950842;a;10;The lack of association of the nude mice tumour DNA with myc/ras/EGF-R showing aberrations in the primary human tumour, implies activation of an alternative potent transforming gene(s) in the chewing tobacco -related oral carcinomas in India. ;tobacco;tumour;Negative;o;200;207;41;47
7950842;a;10;The lack of association of the nude mice tumour DNA with myc/ras/EGF-R showing aberrations in the primary human tumour , implies activation of an alternative potent transforming gene(s) in the chewing tobacco -related oral carcinomas in India. ;tobacco;tumour;Negative;o;201;208;41;47
7950842;a;10;The lack of association of the nude mice tumour DNA with myc/ras/EGF-R showing aberrations in the primary human tumour, implies activation of an alternative potent transforming gene(s) in the chewing tobacco -related oral carcinomas in India. ;tobacco;oral carcinomas;Cause_of_disease;o;200;207;217;232
8087773;a;1;Policy advocacy strategies have proven themselves effective in cancer prevention efforts involving tobacco use and nutrition. ;tobacco;cancer;Negative;o;99;106;63;69
8111215;a;0;After injection of garlic oil in tumor focus a large amount of neutrophils, macrophages and lymphocytes appeared. ;garlic;tumor;Treatment_of_disease;x;19;25;33;38
8111215;a;2;This result showed that garlic oil could induce neutrophils and macrophages against tumor . ;garlic;tumor;Treatment_of_disease;x;24;30;84;89
8125218;t;0;Induced cytotoxicity and cell proliferation in the hepatocarcinogenicity of chloroform in female B6C3F1 mice: comparison of administration by gavage in corn oil vs ad libitum in drinking water. ;corn;cytotoxicity;Negative;o;152;156;8;20
8125218;a;0;Chloroform increases the incidence of liver tumors in B6C3F1 mice when administered in by gavage in corn oil, but not when given in the drinking water at similar daily doses. ;corn;liver tumors;Negative;o;100;104;38;50
8125218;a;5;Dose-dependent changes included centrilobular necrosis and markedly elevated LI in mice given 238 or 477 mg/kg chloroform in corn oil (the average daily doses that produced tumors in the cancer bioassay). ;corn;necrosis;Negative;o;125;129;46;54
8125218;a;5;Dose-dependent changes included centrilobular necrosis and markedly elevated LI in mice given 238 or 477 mg/kg chloroform in corn oil (the average daily doses that produced tumors in the cancer bioassay). ;corn;tumors;Negative;o;125;129;173;179
8125218;a;5;Dose-dependent changes included centrilobular necrosis and markedly elevated LI in mice given 238 or 477 mg/kg chloroform in corn oil (the average daily doses that produced tumors in the cancer bioassay). ;corn;cancer;Negative;o;125;129;187;193
8125218;a;8;The sustained increase in LI in the livers of mice administered hepatocarcinogenic doses of chloroform in corn oil, but not for chloroform in drinking water, is evidence that chloroform-induced mouse liver cancer is secondary to events associated with induced cytolethality and cell proliferation. ;corn;liver cancer;Negative;o;106;110;200;212
8125218;a;8;The sustained increase in LI in the livers of mice administered hepatocarcinogenic doses of chloroform in corn oil, but not for chloroform in drinking water, is evidence that chloroform-induced mouse liver cancer is secondary to events associated with induced cytolethality and cell proliferation. ;corn;hepatocarcinogenic;Negative;o;106;110;64;82
8183725;t;0;Preventive action of garlic on aflatoxin B1-induced carcinogenesis in the toad Bufo regularis. ;garlic;carcinogenesis;Treatment_of_disease;o;21;27;52;66
8183725;a;0;The action of fresh minced garlic and garlic oil on aflatoxin B1- (AFB1) induced carcinogenesis in the toad Bufo regularis was studied. ;garlic;carcinogenesis;Negative;o;27;33;81;95
8183725;a;0;The action of fresh minced garlic and garlic oil on aflatoxin B1- (AFB1) induced carcinogenesis in the toad Bufo regularis was studied. ;garlic;carcinogenesis;Negative;o;27;33;81;95
8183725;a;2;Animals given AFB1 together with fresh garlic or garlic oil showed a significant reduction in tumor incidence. ;garlic;tumor;Treatment_of_disease;o;39;45;94;99
8183725;a;2;Animals given AFB1 together with fresh garlic or garlic oil showed a significant reduction in tumor incidence. ;garlic;tumor;Treatment_of_disease;o;39;45;94;99
8183725;a;3;The tumor incidences were 3% and 9% in animals given AFB1 plus garlic and AFB1 plus garlic oil, respectively. ;garlic;tumor;Negative;o;63;69;4;9
8183725;a;3;The tumor incidences were 3% and 9% in animals given AFB1 plus garlic and AFB1 plus garlic oil, respectively. ;garlic;tumor;Negative;o;63;69;4;9
8183725;a;4;In all three groups, the tumors were located in the liver (hepatocellular carcinomas), in addition to the kidney in animals treated with AFB1 alone and together with garlic . ;garlic;tumors;Negative;o;166;172;25;31
8183725;a;4;In all three groups, the tumors were located in the liver ( hepatocellular carcinomas ), in addition to the kidney in animals treated with AFB1 alone and together with garlic . ;garlic;hepatocellular carcinomas;Negative;o;168;174;60;85
8183725;a;6;It is speculated that one or more constituents of garlic may be responsible for inhibition of AFB1-induced carcinogenesis in B. regularis. ;garlic;carcinogenesis;Treatment_of_disease;o;50;56;107;121
8187074;a;0;Ten organosulfur compounds from garlic and onions were studied for their modifying effects on diethylnitrosamine-induced neoplasia of liver in male F344 rats using the medium-term bioassay system of Ito based on the two-step model of hepatocarcinogenesis . ;garlic;hepatocarcinogenesis;Negative;o;32;38;234;254
8187074;a;0;Ten organosulfur compounds from garlic and onions were studied for their modifying effects on diethylnitrosamine-induced neoplasia of liver in male F344 rats using the medium-term bioassay system of Ito based on the two-step model of hepatocarcinogenesis. ;garlic;neoplasia of liver;Negative;o;32;38;121;139
8187074;a;0;Ten organosulfur compounds from garlic and onions were studied for their modifying effects on diethylnitrosamine-induced neoplasia of liver in male F344 rats using the medium-term bioassay system of Ito based on the two-step model of hepatocarcinogenesis . ;onions;hepatocarcinogenesis;Negative;o;43;49;234;254
8187074;a;0;Ten organosulfur compounds from garlic and onions were studied for their modifying effects on diethylnitrosamine-induced neoplasia of liver in male F344 rats using the medium-term bioassay system of Ito based on the two-step model of hepatocarcinogenesis. ;onions;neoplasia of liver;Negative;o;43;49;121;139
8187074;a;9;In evaluating relationships between diet and cancer , it is appropriate to consider not only the possible protective role of garlic and onions but also their enhancing effects. ;garlic;cancer;Treatment_of_disease;o;125;131;45;51
8187074;a;9;In evaluating relationships between diet and cancer , it is appropriate to consider not only the possible protective role of garlic and onions but also their enhancing effects. ;onions;cancer;Treatment_of_disease;o;136;142;45;51
8187734;a;0;We examined the risk of obstructive respiratory disease associated with tobacco smoke in indoor air, independent of active smoking, ambient air pollution, and some of the other sources of residential indoor air pollution. ;tobacco;respiratory disease;Negative;o;72;79;36;55
8210262;a;6;The majority of all sixth grade students surveyed were aware of the health risks of smokeless tobacco use in that it is an increased risk for cancer . ;tobacco;cancer;Cause_of_disease;o;94;101;142;148
8357273;a;0;Alcohol and tobacco habits have been identified as strong risk factors for esophageal cancer . ;tobacco;esophageal cancer;Cause_of_disease;o;12;19;75;92
8391063;a;1;This study examined whether they may prevent the occurrence of upper aerodigestive cancer in subjects heavily exposed to tobacco smoking, such as patients already cured of an early-stage lung cancer . ;tobacco;lung cancer;Negative;o;121;128;187;198
8391063;a;1;This study examined whether they may prevent the occurrence of upper aerodigestive cancer in subjects heavily exposed to tobacco smoking, such as patients already cured of an early-stage lung cancer. ;tobacco;aerodigestive cancer;Negative;o;121;128;69;89
8391063;a;8;CONCLUSION: Daily oral administration of high-dose vitamin A is effective in reducing the number of new primary tumors related to tobacco consumption and may improve the disease-free interval in patients curatively resected for stage I lung cancer. ;tobacco;tumors;Cause_of_disease;o;130;137;112;118
